PCD;NominalSize1;Table1;NominalSize2;Table2;NominalSize3;Table3;NominalSize4;Table4;NominalSize5;Table5;NominalSize6;Table6;NominalSize7;Table7;NominalSize8;Table8;NominalSize9;Table9;NominalSize10;Table10
209.6;125;D/3;125;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
209.6;125;D/3;125;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
209.6;125;D/3;125;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
299.8;210;125;10/3;125;25/3;125;1000/3;125;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
299.9;210;125;10/3;125;25/3;125;1000/3;125;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
210;210;125;10/3;125;25/3;125;1000/3;125;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
210.1;210;125;10/3;125;25/3;125;1000/3;125;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
210.2;210;125;10/3;125;25/3;125;1000/3;125;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
215.7;215.9;125;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
215.8;215.9;125;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
215.9;215.9;125;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
216;215.9;125;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
216.1;215.9;125;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
219.8;220;125;25/3;125;40/3;125;2500/3;125;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
219.9;220;125;25/3;125;40/3;125;2500/3;125;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
220;220;125;25/3;125;40/3;125;2500/3;125;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
220.1;220;125;25/3;125;40/3;125;2500/3;125;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
220.2;220;125;25/3;125;40/3;125;2500/3;125;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
224.8;225;150;6/3;150;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
224.9;225;150;6/3;150;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
225;225;150;6/3;150;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
225.1;225;150;6/3;150;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
225.2;225;150;6/3;150;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
234.7;234.9;125;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
234.8;234.9;125;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
234.9;234.9;125;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
235;235;150;D/3;150;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
235.1;235;150;D/3;150;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
235.2;235;150;D/3;150;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
239.8;240;150;10/3;150;25/3;150;1000/3;150;2500/3;-;-;-;-;-;-;-;-;-;-;-;-
239.9;240;150;10/3;150;25/3;150;1000/3;150;2500/3;-;-;-;-;-;-;-;-;-;-;-;-
240;240;150;10/3;150;25/3;150;1000/3;150;2500/3;-;-;-;-;-;-;-;-;-;-;-;-
240.1;240;150;10/3;150;25/3;150;1000/3;150;2500/3;-;-;-;-;-;-;-;-;-;-;-;-
240.2;240;150;10/3;150;25/3;150;1000/3;150;2500/3;-;-;-;-;-;-;-;-;-;-;-;-
241.1;241.3;150;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241.2;241.3;150;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241.3;241.3;150;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241.4;241.3;150;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241.5;241.3;150;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
249.8;250;150;25/3;150;40/3;150;2500/3;150;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
249.9;250;150;25/3;150;40/3;150;2500/3;150;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
250;250;150;25/3;150;40/3;150;2500/3;150;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
250.1;250;150;25/3;150;40/3;150;2500/3;150;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
250.2;250;150;25/3;150;40/3;150;2500/3;150;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
260.2;260.4;150;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
260.3;260.4;150;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
260.4;260.4;150;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
260.5;260.4;150;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
260.6;260.4;150;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
279.8;280;200;6/3;200;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
279.9;280;200;6/3;200;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280;280;200;6/3;200;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280.1;280;200;6/3;200;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280.2;280;200;6/3;200;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
291.9;292.1;200;D/3;200;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
292;292.1;200;D/3;200;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
292.1;292.1;200;D/3;200;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
